sequence_number,time_taken_to_correct_ms
2,0.137472
10,0.007168
85,0.068608
95,0.010752
147,0.028928
181,0.007424
218,0.016896
236,0.01152
307,0.006912
324,0.006912
355,0.010496
373,0.055808
374,0.201472
427,0.003072
446,0.037632
464,0.042752
611,0.040704
631,0.019712
777,0.05376
805,0.015104
846,0.169472
893,0.077568
968,0.80256
1030,0.114944
1038,0.083456
1082,0.042496
1144,0.06016
1167,0.019456
1188,0.11904
1218,0.049664
1262,0.054528
1281,0.295424
1362,0.11136
1401,0.116224
1481,0.007936
1515,0.014592
1555,0.000768
1567,0.065536
1612,0.02432
1644,0.041216
1689,0.003072
1692,0.005376
1707,0.012288
1739,0.043008
1793,0.018944
1810,0.026368
1904,0.098048
1978,0.038656
2034,0.022784
2155,0.023808
2191,0.004608
2194,0.014848
2260,0.013312
2315,0.135168
2422,0.036096
2435,0.165376
2450,0.040192
2492,0.00384
2514,0.014848
2568,0.659456
2605,0.006144
2655,0.037376
2672,0.035328
2734,0.012288
2749,0.005632
2764,0.030976
2771,0.000512
2848,0.023552
2889,0.083456
2903,0.063488
2994,0.04608
3034,0.018432
3121,0.084736
3248,0.002816
3275,0.013824
3295,0.06656
3358,0.004352
3363,0.092416
3452,0.13056
3476,0.330752
3544,0.043008
3590,0.018688
3605,0.389888
3665,0.001536
3714,0.041472
3826,0.032768
3873,0.008704
3889,0.0128
3931,0.032
3955,0.093184
3966,0.005888
3973,0.258048
4060,0.000256
4071,0.010752
4094,0.048128
4136,0.075264
4162,0.059904
4206,0.02944
4227,0.013568
4277,0.059392
4310,0.045056
4345,0.003584
4354,0.006656
4373,0.005888
4379,0.045312
4451,0.011008
4493,0.19968
4531,0.134144
4556,0.0128
4567,0.10752
4569,0.288
4629,0.071424
4756,1.354752
4758,2.7264
4764,1.154048
4838,0.04096
4842,0.27264
4847,0.008192
5094,0.00384
5118,0.127488
5155,0.046336
5169,0.333056
5235,0.111104
5269,0.102144
5348,0.012544
5387,0.070656
5475,0.089344
5506,0.030208
5650,0.057856
5686,0.064768
5771,0.234496
5805,0.006912
5811,0.009728
5861,0.067072
5896,0.00512
5906,0.047872
5916,0.074752
5960,0.003328
6005,0.00384
6030,0.216576
6094,0.004608
6108,0.050688
6120,2.282752
6295,0.02432
6308,0.004864
6354,0.00768
